country,id,value,extraInfo,text_content,link_text,link_url_target,audio_url_1,audio_url_2,audio_url_3,image_url_source,image_url_target,video_url
Albania,AL,null,Falsch,,,,,,,,,
Austria,AT,0.0074,Falsch,,,,,,,,,
Belgium,BE,0.0083,Falsch,,,,,,,,,
Bulgaria,BG,0.0234,Falsch,,,,,,,,,
Bosnia and Herzegovina,BA,null,Falsch,,,,,,,,,
Switzerland,CH,null,Falsch,,,,,,,,,
Cyprus,CY,0.0005,Falsch,,,,,,,,,
Czechia,CZ,0.0153,Falsch,,,,,,,,,
Germany,DE,0.1167,Falsch,,,,,,,,,
Denmark,DK,0.0224,Falsch,,,,,,,,,
Estonia,EE,0.0059,Falsch,,,,,,,,,
Georgia,GE,null,Falsch,,,,,,,,,
Greece,EL,0.0030,Falsch,,,,,,,,,
Spain,ES,0.1709,Falsch,,,,,,,,,
Finland,FI,0.0182,Falsch,,,,,,,,,
France,FR,0.3147,Falsch,,,,,,,,,
Croatia,HR,0.0046,Falsch,,,,,,,,,
Hungary,HU,0.0313,Falsch,,,,,,,,,
Ireland,IE,0.0180,Falsch,,,,,,,,,
Iceland,IS,null,Falsch,,,,,,,,,
Italy,IT,0.0531,Falsch,,,,,,,,,
Liechtenstein,LI,null,Falsch,,,,,,,,,
Lithuania,LT,0.0177,Falsch,,,,,,,,,
Luxembourg,LU,0.0016,Falsch,,,,,,,,,
Latvia,LV,0.0115,Falsch,,,,,,,,,
Montenegro,ME,null,Falsch,,,,,,,,,
North Macedonia,MK,null,Falsch,,,,,,,,,
Malta,MT,null,Falsch,,,,,,,,,
Moldova,MD,null,Falsch,,,,,,,,,
Netherlands,NL,0.0094,Falsch,,,,,,,,,
Norway,NO,null,Falsch,,,,,,,,,
Poland,PL,0.0427,Falsch,,,,,,,,,
Portugal,PT,0.0217,Falsch,,,,,,,,,
Romania,RO,0.0490,Falsch,,,,,,,,,
Serbia,RS,null,Falsch,,,,,,,,,
Sweden,SE,0.0246,Falsch,,,,,,,,,
Slovenia,SI,0.0004,Falsch,,,,,,,,,
Slovakia,SK,0.0076,Falsch,,,,,,,,,
Turkey,TR,null,Falsch,,,,,,,,,
United Kingdom,UK,null,Falsch,,,,,,,,,
Ukraine,UA,null,Falsch,,,,,,,,,
